,feature,median,fold0,fold1,fold2,fold3,fold4
130,q05_roll_std_10,94.65694808959961,35210.82889175415,0.0,100.36699676513672,88.9468994140625,0.0
138,max_roll_mean_10,85.00982475280762,0.0,363.718994140625,229.31169891357422,55.363800048828125,0.0
104,abs_trend,78.00659942626953,78.00659942626953,0.0,117.55060195922852,90.7582015991211,0.0
159,std_roll_mean_100,77.21039962768555,71.71829986572266,82.70249938964844,0.0,140.90899658203125,125.82160186767578
141,q05_roll_mean_10,76.6613998413086,0.0,121.24500274658203,76.6613998413086,427.0249938964844,0.0
93,Rmin_last_5000,75.54389953613281,272.8869934082031,151.08779907226562,0.0,0.0,0.0
80,Rstd,74.85590362548828,74.85590362548828,75.08930206298828,0.0,121.29610061645508,0.0
65,kurtosis_first_10000,72.13764953613281,77.39530181884766,112.51100158691406,0.0,0.0,66.87999725341797
111,Moving_average_3000_mean,69.31999969482422,0.0,69.31999969482422,189.5347023010254,160.61700057983398,0.0
48,max_last_50000,67.85434865951538,0.0,1714.8183670043945,156.41259574890137,57.50239944458008,0.0
127,max_roll_std_10,64.8125,0.0,65.12889862060547,85.0166015625,64.8125,0.0
70,skew_last_10000,62.602500915527344,148.21400451660156,125.20500183105469,0.0,0.0,0.0
178,av_change_rate_roll_std_1000,60.07830047607422,0.0,77.37760162353516,60.07830047607422,82.98079681396484,0.0
40,avg_last_50000,58.29840087890625,0.0,60.622798919677734,93.07539939880371,58.29840087890625,0.0
132,q99_roll_std_10,56.211700439453125,84.7654037475586,0.0,50.00130081176758,62.42210006713867,376.3739929199219
129,q01_roll_std_10,54.848100662231445,109.69620132446289,363.66900634765625,0.0,0.0,0.0
99,Imax_last_5000,54.36319923400879,64.7499008178711,56.008399963378906,0.0,52.71799850463867,0.0
62,mad_last_10000,53.278499603271484,290.46229553222656,0.0,106.55699920654297,0.0,0.0
112,Moving_average_6000_mean,50.78141212463379,135.41709899902344,0.0,587.3500061035156,0.0,0.0
163,q05_roll_mean_100,45.93075180053711,482.75599670410156,0.0,0.0,91.86150360107422,0.0
135,abs_max_roll_std_10,45.86099910736084,0.0,81.4740982055664,61.14799880981445,0.0,66.05879974365234
49,max_first_10000,42.999351501464844,179.9221954345703,85.99870300292969,0.0,0.0,0.0
82,Rmin,42.36149883270264,0.0,56.481998443603516,103.05189895629883,0.0,144.4615020751953
101,Imin_last_5000,40.167049407958984,80.33409881591797,586.01220703125,0.0,0.0,0.0
137,std_roll_mean_10,38.92789840698242,0.0,252.3159942626953,0.0,181.9709930419922,77.85579681396484
160,max_roll_mean_100,38.44654846191406,76.89309692382812,263.96009826660156,0.0,0.0,0.0
46,std_last_10000,37.77404975891113,75.01679992675781,0.0,0.0,101.28700256347656,56.79389953613281
52,min_last_50000,36.70132541656494,0.0,86.3949966430664,48.93510055541992,0.0,53.62310028076172
143,q99_roll_mean_10,35.60770034790039,71.21540069580078,91.08470153808594,0.0,0.0,0.0
164,q95_roll_mean_100,34.98324966430664,295.93499755859375,69.96649932861328,0.0,0.0,0.0
155,av_change_abs_roll_std_100,33.117401123046875,0.0,274.35509490966797,0.0,66.23480224609375,261.71399688720703
188,av_change_abs_roll_mean_1000,33.01042556762695,88.02780151367188,0.0,89.94670104980469,0.0,0.0
43,std_first_50000,32.881900787353516,0.0,179.17599487304688,32.881900787353516,53.16389846801758,0.0
0,mean,32.85100173950195,334.0740051269531,65.7020034790039,0.0,0.0,0.0
56,sum_last_50000,32.50920104980469,0.0,85.14600372314453,0.0,65.01840209960938,123.58999633789062
148,std_roll_std_100,32.44879913330078,0.0,80.88249969482422,32.44879913330078,188.49440002441406,0.0
1,std,32.230098724365234,0.0,287.0450134277344,0.0,64.46019744873047,77.4574966430664
22,count_big,31.75170135498047,0.0,32722.640594482422,42.335601806640625,0.0,90.00759887695312
