,feature,fold0,median,fold1,fold2,fold3,fold4
45,std_first_10000,0.0,167.12899780273438,167.12899780273438,315.5790100097656,202.0919952392578,0.0
166,av_change_abs_roll_mean_100,156.9770050048828,156.9770050048828,186.76800537109375,0.0,164.02999877929688,0.0
138,max_roll_mean_10,336.60499572753906,152.3027458190918,0.0,0.0,287.4870147705078,136.30299377441406
78,mean_change_rate_last_10000,124.60700225830078,125.77975273132324,129.29800415039062,158.78500366210938,0.0,0.0
179,abs_max_roll_std_1000,0.0,121.322998046875,119.86599731445312,133.46200561523438,161.92599487304688,122.77999877929688
177,av_change_abs_roll_std_1000,193.0780029296875,118.03150177001953,122.72200012207031,0.0,0.0,113.34100341796875
69,skew_first_10000,279.1479949951172,86.79750061035156,0.0,173.59500122070312,0.0,0.0
65,kurtosis_first_10000,344.43299865722656,86.10824966430664,0.0,0.0,190.26600646972656,0.0
8,median,0.0,81.2182502746582,167.7550048828125,108.29100036621094,0.0,147.54299926757812
55,sum_first_50000,323.9079895019531,75.13349914550781,0.0,0.0,150.26699829101562,0.0
143,q99_roll_mean_10,0.0,64.36225128173828,288.43800354003906,257.4490051269531,0.0,0.0
63,kurtosis_first_50000,130.51600646972656,62.47650146484375,124.9530029296875,0.0,0.0,0.0
183,min_roll_mean_1000,292.9669952392578,59.423500061035156,118.84700012207031,0.0,0.0,0.0
150,min_roll_std_100,153.3090057373047,58.272499084472656,0.0,116.54499816894531,0.0,0.0
93,Rmin_last_5000,294.98899841308594,56.446998596191406,112.89399719238281,0.0,0.0,0.0
180,ave_roll_mean_1000,0.0,31.405000686645508,341.6239929199219,125.62000274658203,0.0,0.0
44,std_last_50000,0.0,30.1560001373291,120.6240005493164,370.6129913330078,0.0,0.0
118,MA_400MA_BB_low_mean,0.0,29.977249145507812,119.90899658203125,135.8260040283203,0.0,0.0
98,Istd_last_15000,0.0,29.465749740600586,117.86299896240234,265.75,0.0,0.0
19,mean_change_abs,113.55400085449219,28.388500213623047,0.0,0.0,334.5449981689453,0.0
79,Rmean,0.0,27.77199935913086,111.08799743652344,276.7889938354492,0.0,0.0
134,av_change_rate_roll_std_10,132.8090057373047,0.0,0.0,0.0,0.0,208.73199462890625
155,av_change_abs_roll_std_100,306.4889907836914,0.0,0.0,0.0,0.0,0.0
105,classic_sta_lta1_mean,303.5530090332031,0.0,0.0,0.0,0.0,0.0
75,mean_change_rate_first_50000,294.0510025024414,0.0,0.0,0.0,0.0,0.0
68,skew_last_50000,160.58399963378906,0.0,0.0,0.0,0.0,0.0
62,mad_last_10000,214.2949981689453,0.0,0.0,0.0,0.0,128.0260009765625
70,skew_last_10000,168.4499969482422,0.0,0.0,0.0,0.0,0.0
181,std_roll_mean_1000,168.38800048828125,0.0,0.0,0.0,0.0,0.0
187,q99_roll_mean_1000,135.0260009765625,0.0,0.0,0.0,0.0,0.0
7,skew,142.03399658203125,0.0,0.0,0.0,0.0,0.0
175,q95_roll_std_1000,156.82699584960938,0.0,0.0,0.0,0.0,0.0
88,Rmean_last_15000,155.17599487304688,0.0,0.0,0.0,0.0,0.0
43,std_first_50000,154.23500061035156,0.0,0.0,0.0,0.0,0.0
107,classic_sta_lta3_mean,142.281005859375,0.0,0.0,0.0,0.0,0.0
23,q999,140.35400390625,0.0,0.0,0.0,0.0,0.0
99,Imax_last_5000,139.2010040283203,0.0,0.0,0.0,0.0,148.2449951171875
77,mean_change_rate_first_10000,138.9600067138672,0.0,0.0,0.0,0.0,0.0
76,mean_change_rate_last_50000,136.7689971923828,0.0,0.0,0.0,0.0,0.0
103,trend,122.79199981689453,0.0,0.0,0.0,0.0,321.1159973144531
48,max_last_50000,123.61900329589844,0.0,0.0,0.0,0.0,0.0
129,q01_roll_std_10,0.0,0.0,0.0,0.0,0.0,0.0
139,min_roll_mean_10,0.0,0.0,0.0,0.0,0.0,0.0
128,min_roll_std_10,0.0,0.0,0.0,0.0,0.0,0.0
133,av_change_abs_roll_std_10,0.0,0.0,162.66799926757812,0.0,0.0,128.56900024414062
64,kurtosis_last_50000,120.19599914550781,0.0,0.0,0.0,0.0,0.0
110,Moving_average_1500_mean,0.0,0.0,0.0,0.0,0.0,0.0
119,MA_700MA_std_mean,0.0,0.0,104.20899963378906,0.0,143.2530059814453,0.0
112,Moving_average_6000_mean,0.0,0.0,0.0,299.2019958496094,115.2040023803711,0.0
137,std_roll_mean_10,0.0,0.0,126.06999969482422,0.0,110.85099792480469,0.0
116,MA_400MA_std_mean,0.0,0.0,0.0,0.0,148.3090057373047,0.0
113,exp_Moving_average_300_mean,0.0,0.0,0.0,0.0,124.9020004272461,0.0
132,q99_roll_std_10,0.0,0.0,0.0,0.0,366.3320007324219,0.0
123,Hilbert_mean,0.0,0.0,0.0,0.0,0.0,0.0
161,min_roll_mean_100,0.0,0.0,0.0,0.0,0.0,0.0
136,ave_roll_mean_10,0.0,0.0,0.0,166.38299560546875,0.0,0.0
135,abs_max_roll_std_10,0.0,0.0,132.89599609375,0.0,0.0,144.32200622558594
114,exp_Moving_average_3000_mean,0.0,0.0,0.0,0.0,0.0,0.0
111,Moving_average_3000_mean,0.0,0.0,0.0,0.0,0.0,0.0
115,exp_Moving_average_30000_mean,0.0,0.0,0.0,0.0,0.0,0.0
121,MA_700MA_BB_low_mean,0.0,0.0,0.0,0.0,0.0,0.0
83,Imean,135.91099548339844,0.0,0.0,0.0,0.0,0.0
149,max_roll_std_100,0.0,0.0,152.2050018310547,0.0,142.44700622558594,0.0
122,MA_1000MA_std_mean,0.0,0.0,0.0,0.0,0.0,0.0
169,ave_roll_std_1000,0.0,0.0,152.23699951171875,0.0,0.0,0.0
178,av_change_rate_roll_std_1000,0.0,0.0,0.0,0.0,321.718994140625,0.0
0,mean,0.0,0.0,0.0,0.0,0.0,0.0
172,min_roll_std_1000,0.0,0.0,0.0,0.0,0.0,0.0
140,q01_roll_mean_10,0.0,0.0,0.0,0.0,117.02799987792969,0.0
127,max_roll_std_10,0.0,0.0,0.0,0.0,0.0,0.0
165,q99_roll_mean_100,0.0,0.0,0.0,287.9169921875,315.0399932861328,0.0
167,av_change_rate_roll_mean_100,0.0,0.0,0.0,0.0,0.0,0.0
168,abs_max_roll_mean_100,0.0,0.0,0.0,0.0,0.0,0.0
170,std_roll_std_1000,0.0,0.0,0.0,0.0,0.0,0.0
130,q05_roll_std_10,0.0,0.0,0.0,0.0,0.0,277.1189880371094
126,std_roll_std_10,0.0,0.0,0.0,0.0,0.0,256.16400146484375
131,q95_roll_std_10,0.0,0.0,0.0,0.0,112.25900268554688,0.0
108,classic_sta_lta4_mean,0.0,0.0,0.0,0.0,0.0,0.0
171,max_roll_std_1000,0.0,0.0,0.0,120.91600036621094,0.0,0.0
25,q95,0.0,0.0,0.0,0.0,0.0,0.0
109,Moving_average_700_mean,0.0,0.0,0.0,114.77300262451172,0.0,0.0
142,q95_roll_mean_10,0.0,0.0,0.0,0.0,0.0,128.97500610351562
176,q99_roll_std_1000,0.0,0.0,239.11500549316406,0.0,0.0,0.0
120,MA_700MA_BB_high_mean,0.0,0.0,115.9739990234375,0.0,429.7790069580078,0.0
182,max_roll_mean_1000,0.0,0.0,0.0,0.0,0.0,0.0
185,q05_roll_mean_1000,0.0,0.0,0.0,123.87999725341797,176.17999267578125,0.0
151,q01_roll_std_100,0.0,0.0,164.28599548339844,0.0,0.0,0.0
184,q01_roll_mean_1000,0.0,0.0,0.0,0.0,0.0,163.63400268554688
186,q95_roll_mean_1000,0.0,0.0,0.0,0.0,232.64500427246094,135.843994140625
188,av_change_abs_roll_mean_1000,0.0,0.0,131.8679962158203,0.0,494.13800048828125,0.0
189,av_change_rate_roll_mean_1000,0.0,0.0,0.0,0.0,0.0,0.0
164,q95_roll_mean_100,0.0,0.0,0.0,0.0,0.0,149.6510009765625
163,q05_roll_mean_100,0.0,0.0,0.0,176.1580047607422,0.0,176.5679931640625
162,q01_roll_mean_100,0.0,0.0,0.0,0.0,0.0,0.0
145,av_change_rate_roll_mean_10,0.0,0.0,0.0,0.0,231.11700439453125,0.0
141,q05_roll_mean_10,0.0,0.0,0.0,125.83599853515625,0.0,0.0
40,avg_last_50000,471.48199462890625,0.0,0.0,0.0,0.0,263.49000549316406
125,ave_roll_std_10,0.0,0.0,230.99099731445312,0.0,0.0,368.08499908447266
173,q01_roll_std_1000,0.0,0.0,0.0,0.0,0.0,135.24600219726562
95,Imean_last_5000,0.0,0.0,0.0,0.0,0.0,0.0
27,q01,0.0,0.0,0.0,0.0,243.86100006103516,0.0
156,av_change_rate_roll_std_100,0.0,0.0,125.83200073242188,0.0,0.0,0.0
146,abs_max_roll_mean_10,0.0,0.0,0.0,148.0540008544922,150.52999877929688,0.0
148,std_roll_std_100,0.0,0.0,175.14500427246094,0.0,129.64500427246094,0.0
152,q05_roll_std_100,0.0,0.0,273.00699615478516,0.0,0.0,0.0
90,Rstd_last_15000,0.0,0.0,0.0,154.5489959716797,0.0,0.0
154,q99_roll_std_100,0.0,0.0,157.23599243164062,0.0,0.0,165.81399536132812
124,Hann_window_mean,0.0,0.0,0.0,0.0,0.0,0.0
157,abs_max_roll_std_100,0.0,0.0,0.0,0.0,118.55599975585938,0.0
