,feature,median,fold0,fold1,fold2,fold3,fold4
83,Imean,6495.330618858337,10816.881004333496,0.0,580.5140075683594,9996.183982849121,11756.949966430664
39,avg_first_50000,6093.474494934082,6474.596984863281,857.2900085449219,7418.58829498291,5712.352005004883,11130.213989257812
41,avg_first_10000,5665.280611991882,9429.838996887207,1173.875991821289,21852.233863830566,4258.181976318359,964.8099975585938
79,Rmean,5656.090407371521,9038.745002746582,895.8090133666992,10140.331771850586,4533.1220626831055,2568.94278717041
152,q05_roll_std_100,5231.841011047363,5231.841011047363,1354.0190124511719,9323.631484985352,5599.141044616699,0.0
85,Imax,5195.535995483398,5195.535995483398,1163.6179885864258,6718.272903442383,8068.009033203125,3954.811134338379
184,q01_roll_mean_1000,5166.087753295898,5166.087753295898,979.9399871826172,6781.079795837402,5697.96598815918,855.2542037963867
144,av_change_abs_roll_mean_10,5111.014589309692,14658.722427368164,0.0,0.0,7157.2080154418945,6557.348571777344
187,q99_roll_mean_1000,4951.583999633789,4951.583999633789,771.3350067138672,7583.536804199219,7124.464973449707,457.1419982910156
67,skew_first_50000,4940.411744117737,11216.483039855957,116.30400085449219,358.38800048828125,19675.508018493652,6897.508728027344
70,skew_last_10000,4897.382904052734,9335.2525100708,255.06399536132812,4897.382904052734,11937.940002441406,3573.5397186279297
88,Rmean_last_15000,4894.2401123046875,20589.095184326172,0.0,1319.4666748046875,9251.119987487793,3981.4730911254883
161,min_roll_mean_100,4872.874493598938,6783.693992614746,422.36100006103516,2532.2629928588867,13395.487915039062,10012.666900634766
21,max_to_min_diff,4839.419055938721,3971.1950149536133,734.3790130615234,12729.9574508667,12987.700401306152,5707.643096923828
51,min_first_50000,4814.233136177063,7537.874977111816,106.78299713134766,412.24510192871094,14979.249717712402,12929.892463684082
128,min_roll_std_10,4809.437786102295,11648.889617919922,0.0,92.05110168457031,16015.563949584961,6660.627616882324
54,min_last_10000,4696.796012878418,4696.796012878418,227.86000061035156,12312.066284179688,5546.562049865723,2401.8367080688477
82,Rmin,4655.456678390503,6429.801010131836,745.6989974975586,8597.15064239502,130.781005859375,4488.562599182129
162,q01_roll_mean_100,4646.29514503479,8717.489654541016,402.4620056152344,3674.646598815918,15999.329978942871,5275.894577026367
87,Rmean_last_5000,4581.623805999756,18679.0311126709,147.29200744628906,2995.6598892211914,8163.017997741699,108.46099853515625
172,min_roll_std_1000,4564.869040489197,18329.04303741455,0.0,317.09439849853516,10643.661018371582,4388.930122375488
176,q99_roll_std_1000,4561.9090967178345,6636.7089920043945,384.406005859375,6078.80290222168,0.0,4425.2394943237305
17,abs_skew,4426.936996459961,4426.936996459961,405.34200286865234,4485.954986572266,4729.05802154541,2503.4084854125977
59,mad_first_50000,4415.066220283508,7048.505027770996,116.16000366210938,2215.0163955688477,13659.353988647461,5960.497985839844
139,min_roll_mean_10,4366.558891296387,4366.558891296387,842.9900131225586,11209.559181213379,5234.243965148926,3233.102813720703
42,avg_last_10000,4353.308824539185,12505.607223510742,756.3050079345703,6790.153701782227,251.4800033569336,2185.1389923095703
61,mad_first_10000,4342.5074644088745,9970.48299407959,0.0,0.0,16613.989990234375,6192.394180297852
91,Rmax_last_5000,4221.375156402588,9389.392013549805,284.7220001220703,5244.820579528809,3472.9920196533203,1125.928207397461
104,abs_trend,4204.785911560059,7797.967964172363,126.21299743652344,4204.785911560059,6326.877960205078,0.0
159,std_roll_mean_100,4132.75745677948,8329.209983825684,483.8090057373047,3361.7586059570312,5169.683982849121,4502.333114624023
186,q95_roll_mean_1000,4053.1360397338867,4053.1360397338867,742.5649871826172,9935.325988769531,7168.4329833984375,0.0
89,Rstd_last_5000,4031.8494758605957,4607.827972412109,1275.4110107421875,7786.346420288086,1671.1609954833984,7843.3540115356445
46,std_last_10000,4027.546491622925,9571.535995483398,876.4409866333008,9698.51872253418,762.171012878418,684.5970001220703
107,classic_sta_lta3_mean,4022.681206703186,9766.945014953613,276.8939895629883,5449.410293579102,2878.921012878418,2246.8275833129883
47,max_first_50000,3975.898355484009,6821.289016723633,313.23600006103516,4474.194320678711,3678.2650146484375,4009.377296447754
103,trend,3971.093852043152,15495.502220153809,114.83999633789062,294.5576934814453,9014.771049499512,3921.033302307129
175,q95_roll_std_1000,3950.1410217285156,3950.1410217285156,295.63099670410156,4178.1061935424805,12078.855056762695,1763.3079986572266
31,abs_q999,3938.384853363037,3467.077003479004,455.0140151977539,4966.908294677734,4877.334014892578,4409.69270324707
105,classic_sta_lta1_mean,3930.245506286621,16286.068962097168,508.81800842285156,6112.706008911133,1747.7850036621094,1124.6945037841797
177,av_change_abs_roll_std_1000,3854.3440227508545,13501.11294555664,260.197998046875,2691.059181213379,7435.829002380371,2987.8802185058594
