,feature,median,fold0,fold1
92,q05_roll_std_10,3216379.5739707947,6432759.147941589,29754.993047714233
114,q05_roll_std_100,1027732.6875152588,2055465.3750305176,8949.73282623291
136,q05_roll_std_1000,400004.4556274414,800008.9112548828,29818.78430366516
148,q95_roll_mean_1000,67613.23689842224,135226.47379684448,16995.94211959839
113,q01_roll_std_100,67054.44770050049,134108.89540100098,2294.6904163360596
149,q99_roll_mean_1000,63727.48692893982,127454.97385787964,11302.486881256104
144,max_roll_mean_1000,61925.34481430054,61925.34481430054,117730.55214691162
127,q99_roll_mean_100,55309.38801956177,55309.38801956177,57899.90053939819
146,q01_roll_mean_1000,52890.41293334961,52890.41293334961,56749.09849357605
29,avg_first_50000,44368.44995880127,44368.44995880127,109171.06630325317
32,avg_last_10000,43101.026931762695,43101.026931762695,52595.76854991913
91,q01_roll_std_10,33674.46116447449,67348.92232894897,30673.315021514893
59,Rstd_last_5000,29767.405996322632,59534.811992645264,0.0
125,q05_roll_mean_100,28671.13309288025,46584.107650756836,28671.13309288025
124,q01_roll_mean_100,25206.509128570557,25206.509128570557,40444.87759971619
65,trend,24327.60617828369,24327.60617828369,85656.61195755005
135,q01_roll_std_1000,24266.044876098633,48532.089752197266,9581.028873443604
126,q95_roll_mean_100,24223.775049209595,48447.55009841919,19181.599893569946
137,q95_roll_std_1000,23027.090866088867,23027.090866088867,72296.61238861084
58,Rmean_last_15000,22687.567039489746,22687.567039489746,102291.40347576141
134,min_roll_std_1000,22356.478370666504,22356.478370666504,109792.15213012695
112,min_roll_std_100,21371.178829193115,42742.35765838623,0.0
143,std_roll_mean_1000,20960.330047607422,20960.330047607422,36767.977922439575
7,skew,20604.935417175293,20604.935417175293,39461.30422210693
0,mean,20243.45785522461,20243.45785522461,67048.94133377075
121,std_roll_mean_100,19465.6724319458,19465.6724319458,85736.88885593414
70,classic_sta_lta4_mean,19433.54055404663,19433.54055404663,73636.21783447266
128,av_change_abs_roll_mean_100,19169.140510559082,19169.140510559082,57138.58974456787
67,classic_sta_lta1_mean,18944.12535095215,18944.12535095215,45174.65682411194
139,av_change_abs_roll_std_1000,18044.360473632812,18044.360473632812,57688.95858192444
117,av_change_abs_roll_std_100,17869.691919326782,35739.383838653564,12300.370094299316
39,max_first_10000,17860.845184326172,17860.845184326172,52546.523597717285
30,avg_last_50000,17291.689067840576,34583.37813568115,2336.241189956665
47,mean_change_rate_first_10000,17208.16072845459,17208.16072845459,35094.12058830261
46,mean_change_rate_last_50000,16356.34762954712,16356.34762954712,43953.56521034241
49,Rmean,16201.493392944336,16201.493392944336,41756.44686317444
31,avg_first_10000,15789.731582641602,31579.463165283203,4890.166107177734
35,std_first_10000,14907.803352355957,14907.803352355957,102715.30299091339
36,std_last_10000,14735.731727600098,14735.731727600098,58357.97439575195
63,Rmin_last_5000,14466.765842437744,28933.53168487549,454.31460189819336
95,av_change_abs_roll_std_10,14404.391189575195,14404.391189575195,142916.71376895905
53,Imean,14351.257444381714,28702.514888763428,1387.2857074737549
10,abs_mean,14236.28080368042,14236.28080368042,104600.848777771
96,av_change_rate_roll_std_10,14210.956203460693,14210.956203460693,100625.78224658966
61,Rmax_last_5000,14191.239204406738,28382.478408813477,8987.534729003906
90,min_roll_std_10,13908.94919204712,13908.94919204712,34854.244424819946
