,feature,median,fold0,fold1,fold2,fold3,fold4
22,q001,99345.94298744202,13585.708811759949,185106.17716312408,4881.439908981323,983878.3094024658,947640.6792507172
128,av_change_abs_roll_mean_100,94271.21553349495,127162.07623767853,83307.59529876709,127556.76631259918,2097.5923862457275,8528.307501792908
123,min_roll_mean_100,86035.02884578705,55726.17128276825,146429.77004241943,95830.61837768555,76239.43931388855,117320.81593322754
32,avg_last_10000,82747.70478487015,135912.23236751556,132818.61280441284,17204.72020339966,22471.31848526001,32676.796765327454
125,q05_roll_mean_100,82062.64162921906,82062.64162921906,106604.77439022064,0.0,119993.86566066742,3266.7108211517334
143,std_roll_mean_1000,81703.74337804317,109703.66709804535,44614.09081745148,90654.37998771667,9949.84008216858,93883.62226390839
131,ave_roll_std_1000,78700.27045822144,472.4765033721924,111030.40295410156,79218.24861526489,78700.27045822144,34178.782490730286
33,std_first_50000,78561.28607034683,46608.21235179901,89212.3106431961,97775.48237419128,55910.13562297821,131637.36789894104
107,av_change_rate_roll_mean_10,72678.81798028946,59608.30950164795,120.11739730834961,89186.5265674591,97857.2798500061,85749.32645893097
15,max_to_min_diff,71935.24156570435,47436.47690486908,119941.46210861206,32.64590072631836,96434.00622653961,111179.4843826294
90,min_roll_std_10,71595.0808608532,78943.37656879425,67394.26595497131,98076.56296920776,70021.34045982361,107.80579948425293
67,classic_sta_lta1_mean,71512.07615184784,71512.07615184784,47950.42502403259,96855.21258544922,77356.9160079956,50868.55653095245
110,std_roll_std_100,71046.17902851105,6164.408086776733,94964.64390182495,47127.71415519714,100653.41174316406,288163.74919986725
68,classic_sta_lta2_mean,70979.93099689484,85436.38883209229,0.0,74198.40686416626,67761.45512962341,78350.97864818573
37,max_first_50000,70731.40005779266,70731.40005779266,48625.10280704498,78943.61808872223,106496.73880195618,8847.95501613617
46,mean_change_rate_last_50000,70129.12179303169,88448.8731098175,8490.306803703308,78764.016872406,0.0,106865.7477054596
117,av_change_abs_roll_std_100,69341.03518295288,81111.65656089783,106399.34108066559,57570.413805007935,21.306499481201172,16376.327206611633
47,mean_change_rate_first_10000,68742.73073494434,144677.73175525665,3428.028220176697,49286.994691848755,76672.53118515015,111073.05957698822
55,Imax,68134.93185329437,68134.93185329437,95195.52239513397,32464.38676261902,87143.77112197876,44795.132575035095
28,abs_q01,67042.79471111298,0.0,84357.41451835632,82663.249792099,67042.79471111298,1836.1432971954346
57,Rmean_last_5000,66911.61930561066,79095.69150066376,44525.70092868805,294042.4768753052,153.29390144348145,72012.54239654541
25,abs_q99,66773.63014316559,2539.424119949341,81327.79842281342,93645.54820346832,66773.63014316559,9829.00426864624
144,max_roll_mean_1000,65808.6934132576,111001.77646636963,99079.50269603729,16198.3720703125,15453.02499961853,32537.884130477905
70,classic_sta_lta4_mean,64959.8585600853,77192.3562297821,53000.325788497925,68946.36948394775,58134.36647605896,91887.14994621277
49,Rmean,64200.48050546646,75556.07168865204,52844.889322280884,47533.40692138672,90796.72383117676,114012.5752696991
29,avg_first_50000,63579.5291261673,75087.52805995941,57593.980083465576,26022.312490463257,101235.8090839386,69565.07816886902
98,ave_roll_mean_10,63310.44966125488,26.948699951171875,126723.12539386749,78317.81811523438,63310.44966125488,23.885299682617188
48,mean_change_rate_last_10000,61030.17027568817,83470.58164978027,90604.38097763062,23577.55309486389,38589.75890159607,25782.098205566406
149,q99_roll_mean_1000,60631.86489486694,86133.72822570801,1388.3957920074463,60631.86489486694,82918.75164604187,55538.723786354065
146,q01_roll_mean_1000,60595.80738735199,67162.54363250732,97253.79925727844,54029.071142196655,16643.202483177185,20316.665168762207
38,max_last_50000,60255.15029335022,60255.15029335022,38663.69393539429,73773.21724510193,105877.39804172516,54246.67352294922
113,q01_roll_std_100,59973.53147935867,92061.67766189575,19407.456234931946,57649.897190093994,91031.44065856934,62297.16576862335
137,q95_roll_std_1000,59349.748066186905,83087.73077392578,54961.6613817215,72514.00811958313,2237.957106590271,4423.701703071594
127,q99_roll_mean_100,59153.898560762405,72590.28819084167,54675.10201740265,86841.25747871399,41280.28754425049,730.3224000930786
50,Rstd,59117.227573633194,44932.03921127319,69002.46466350555,63845.62369441986,42317.847434043884,96455.9640083313
129,av_change_rate_roll_mean_100,58899.62800145149,49613.52003288269,100216.2131652832,86757.9519071579,41268.144355773926,22875.157336235046
35,std_first_10000,58708.6280002594,58708.6280002594,84065.1536951065,16922.917987823486,39661.89618873596,80020.33914852142
65,trend,57222.3617515564,58936.052742004395,57222.3617515564,4597.4915561676025,75798.92446422577,53382.795862197876
126,q95_roll_mean_100,56958.28162717819,55873.448736190796,102437.4391078949,0.0,58043.11451816559,61052.08749771118
106,av_change_abs_roll_mean_10,56280.546325683594,140443.89917182922,56280.546325683594,17580.664415359497,2316.637102127075,58759.58073234558
7,skew,56155.22308588028,105622.36948394775,0.0,53900.38320350647,58410.06296825409,130382.1309633255
30,avg_last_50000,55950.4752573967,57341.542981147766,54559.40753364563,48618.834424972534,72545.30814647675,110364.40208053589
140,av_change_rate_roll_std_1000,55406.78867983818,47636.43288612366,78717.85606098175,117534.82729530334,1019.8813991546631,0.0
41,min_first_50000,55163.30724167824,70242.71020030975,54416.32306480408,57404.25977230072,45364.85851097107,42925.05278682709
141,abs_max_roll_std_1000,54908.6266515255,2499.4821977615356,714453.564825058,110551.7161617279,45007.25440597534,53291.654123306274
51,Rmax,54560.63270711899,171.77190017700195,78446.22719478607,111508.92550086975,51879.79956436157,57241.465849876404
52,Rmin,53625.522738456726,53625.522738456726,226324.56012439728,48766.3919467926,42799.76732826233,117785.29657554626
61,Rmax_last_5000,53333.510702967644,103674.79479885101,16202.12824344635,50373.09991455078,55561.77274894714,86494.67126464844
63,Rmin_last_5000,52703.90319395065,122407.56202411652,57293.69216442108,1179.1190948486328,47277.496678352356,48114.114223480225
95,av_change_abs_roll_std_10,52687.737159729004,79238.51062393188,52687.737159729004,35916.82014274597,81651.24755191803,49602.50851535797
130,abs_max_roll_mean_100,52639.34963417053,5039.713506698608,8705.57283782959,108709.95056343079,96573.12643051147,111446.87686157227
118,av_change_rate_roll_std_100,52337.14538669586,44516.04085254669,60158.24992084503,4395.991107940674,201960.34720230103,106555.42015647888
53,Imean,52169.21145057678,77481.61011314392,52169.21145057678,43977.88599777222,127216.97265625,166.24399757385254
148,q95_roll_mean_1000,51972.07769536972,50486.59780883789,53457.55758190155,36531.10425376892,57912.82771682739,53882.08638000488
2,max,50864.173325538635,32678.570447921753,40437.31132316589,61291.03532791138,68677.51745510101,116517.59692955017
